,name,address,sido,gugun
0,화명점,부산광역시 북구 화명동 1417-6,부산광역시,북구
1,화봉.연암점,울산광역시 북구 송내1길 18(화봉동),울산광역시,북구
2,화서점,경기도 수원시장안구 화서동 71-27,경기도,수원시장안구
3,화성남양점,경기도 화성시 남양면 남양리 1267-11,경기도,화성시
4,화성송산점,경기도 화성시 수노을1로191 상가3동 105호,경기도,화성시
5,화성시청점,경기도 화성시 남양읍 역골로 3-20 ,경기도,화성시
6,화순점,전라남도 화순군 화순읍 광덕로 142,전라남도,화순군
7,화양동점,"서울특별시 광진구 능동로13길 70(화양동, 1층)",서울특별시,광진구
8,화원점,"대구광역시 달성군 화원읍 화원로2길, 27",대구광역시,달성군
9,화정점,광주광역시 서구 화정동 766-1,광주광역시,서구
10,환호점,경상북도 포항시북구 삼호로 458,경상북도,포항시북구
11,황간점,충청북도 영동군 황간면 남성리 558-1,충청북도,영동군
12,황성점,경상북도 경주시 용담로92번길 43-4,경상북도,경주시
13,황제점,대구광역시 서구 내당동 69-26,대구광역시,서구
14,회원교방점,경상남도 창원시마산회원구 회원남로 39-1,경상남도,창원시마산회원구
15,횡성점,강원도 횡성군 횡성읍 태기로 35,강원도,횡성군
16,횡성중앙점,"강원도 횡성군 횡성읍 문정로19번길, 13-3",강원도,횡성군
17,효가리점,"강원도 동해시 청운로 71(쇄운동, 104)",강원도,동해시
18,효돈점,제주특별자치도 서귀포시 하효동 142-1,제주특별자치도,서귀포시
19,효성1점,인천광역시 계양구 효성2동 273-91 층,인천광역시,계양구
20,효성2점,인천광역시 계양구 효성1동 31-4,인천광역시,계양구
21,효성점,인천광역시 남동구 백범로247번길 93-26,인천광역시,남동구
22,효자점(포항),경상북도 포항시남구 효자동 119-1,경상북도,포항시남구
23,후곡점,경기도 고양시일산서구 강선로 140,경기도,고양시일산서구
24,후평2동점,강원도 춘천시 후만로 37,강원도,춘천시
25,후포점,경상북도 울진군 후포면 후포리 623-130,경상북도,울진군
26,훼미리점,"서울특별시 송파구 중대로 24(문정동, 훼미리상가125호)",서울특별시,송파구
27,휴천점,경상북도 영주시 휴천2동 303-21,경상북도,영주시
28,흑석동점,서울특별시 동작구 흑석동 96-3,서울특별시,동작구
29,흥업점,강원도 원주시 흥업면 남원로 82,강원도,원주시
30,흰돌점,경기도 고양시일산동구 일산로 11  ,경기도,고양시일산동구
31,CNTTEST,00 18 신사동 주소,00,18
